anno_nascita,comune_residenza,provincia_residenza,sesso
1944,AOSTA,AOSTA,M
1990,AOSTA,AOSTA,M
1997,AOSTA,AOSTA,M
1952,AYAS,AOSTA,F
1980,AOSTA,AOSTA,F
1960,AOSTA,AOSTA,M
1983,GRESSAN,AOSTA,M
1962,VERRES,AOSTA,F
1996,POLLEIN,AOSTA,F
1952,AOSTA,AOSTA,F
1960,AOSTA,AOSTA,F
1975,SARRE,AOSTA,F
1969,AOSTA,AOSTA,M
1980,AOSTA,AOSTA,M
1944,AOSTA,AOSTA,M
1989,AOSTA,AOSTA,F
1961,DONNAS,AOSTA,M
1948,AOSTA,AOSTA,M
1957,GIGNOD,AOSTA,M
1981,AOSTA,AOSTA,F
1944,AOSTA,AOSTA,F
1957,AOSTA,AOSTA,F
1976,AOSTA,AOSTA,F
1963,GRESSAN,AOSTA,F
1991,AOSTA,AOSTA,F
1969,AOSTA,AOSTA,M
1975,QUART,AOSTA,M
1969,AOSTA,AOSTA,F
1948,VERRES,AOSTA,M
1988,ALLEIN,AOSTA,M
1993,PONTEY,AOSTA,F
1987,GRESSAN,AOSTA,M
1941,AOSTA,AOSTA,M
1950,AOSTA,AOSTA,F
1964,EMARESE,AOSTA,M
1956,QUART,AOSTA,F
1963,AOSTA,AOSTA,M
1948,AOSTA,AOSTA,M
1969,AOSTA,AOSTA,F
1974,QUART,AOSTA,M
1984,SARRE,AOSTA,M
1971,AOSTA,AOSTA,F
1991,GRESSONEY SAINT JEAN,AOSTA,F
1963,AOSTA,AOSTA,F
1982,AOSTA,AOSTA,M
1937,DONNAS,AOSTA,F
1950,AOSTA,AOSTA,M
1977,QUART,AOSTA,M
1987,AOSTA,AOSTA,F
1933,AOSTA,AOSTA,F
1963,AOSTA,AOSTA,M
1963,SARRE,AOSTA,M
1998,SARRE,AOSTA,F
1978,COGNE,AOSTA,F
1961,CHATILLON,AOSTA,M
1983,AOSTA,AOSTA,F
1995,ARNAD,AOSTA,M
1945,QUART,AOSTA,M
1938,AOSTA,AOSTA,M
1949,AOSTA,AOSTA,M
1949,AOSTA,AOSTA,M
1972,AOSTA,AOSTA,F
1976,AOSTA,AOSTA,M
1958,QUART,AOSTA,M
1993,QUART,AOSTA,M
1954,NUS,AOSTA,F
1995,SARRE,AOSTA,M
1955,AOSTA,AOSTA,M
1941,AOSTA,AOSTA,M
1975,DONNAS,AOSTA,M
1958,AOSTA,AOSTA,M
1982,MORGEX,AOSTA,M
1988,ROISAN,AOSTA,M
1960,AOSTA,AOSTA,M
1958,DONNAS,AOSTA,M
1970,AOSTA,AOSTA,F
1974,AOSTA,AOSTA,F
1954,AVISE,AOSTA,M
